model,topology,gpus,global_batch_size,micro_batch_size,repeats,throughput_median,throughput_min,throughput_max,peak_memory_gib_median,peak_memory_gib_min,peak_memory_gib_max
spikformer,dp4,4,256,64,3,1895.0235221020448,1862.506045825492,1937.5634270249338,6.134361743927002,6.121160984039307,6.135338306427002
spikformer,dp4,4,512,128,3,2503.799569772983,2501.3243752033195,2505.9660254380274,11.951970100402832,11.951970100402832,11.952092170715332
spikformer,fsdp4,4,64,16,3,339.2005096913844,334.570254969549,339.43338208557157,1.538200855255127,1.537224292755127,1.538200855255127
spikformer,fsdp4,4,256,64,3,1326.8874007276404,1294.5056786136438,1331.0965266668939,5.917196273803711,5.917196273803711,5.917196273803711
spikformer,fsdp4,4,512,128,3,2334.569821994378,2319.9210193889576,2350.547472020612,11.764575481414795,11.764575481414795,11.764575481414795
spikformer,pp4,4,16,16,3,73.79044249767786,72.64526517633625,75.05671714065973,0.8919758796691895,0.8919758796691895,0.8919758796691895
spikformer,pp4,4,64,64,3,296.6918941088412,290.51956329727903,296.85536038827144,3.3152213096618652,3.3152213096618652,3.3152213096618652
spikformer,pp4,4,128,128,3,583.0400851788547,576.3154504766063,586.4954150466544,6.518346786499023,6.518346786499023,6.518346786499023
spikformer,pp4,4,256,256,3,1028.23052885777,1019.1877428947962,1048.8021447617741,12.93216609954834,12.93070125579834,12.93216609954834
spikformer,serial,1,16,16,3,138.6659066877691,138.66236669682272,139.86101697484824,1.6774320602416992,1.6774320602416992,1.6788625717163086
spikformer,serial,1,64,64,3,514.3524324716661,512.595546657715,516.9514380642939,6.066071033477783,6.066071033477783,6.066559314727783
spikformer,serial,1,128,128,3,685.1398970141271,684.9527664029451,686.510179271928,11.902006149291992,11.900445938110352,11.902006149291992
spikformer,tp4,4,16,16,3,129.86369343382478,128.31565960976323,131.81632856749084,0.7507548332214355,0.7507548332214355,0.7512998580932617
spikformer,tp4,4,64,64,3,281.0184069261264,280.9848746036333,283.4085471086892,2.7819066047668457,2.7819066047668457,2.7819066047668457
spikformer,tp4,4,128,128,3,281.80493507058975,280.94635157684314,287.6368778692948,5.469770431518555,5.469770431518555,5.469770431518555
spikformer,tp4,4,256,256,3,278.69198731594037,278.4747971768229,279.6351294968157,10.822060585021973,10.822060585021973,10.822060585021973
